"Part";"Value";"Device";"Package";"Description";"";
"5VLDO";"MCP1700-5";"MCP1700SOT233";"SOT23";"VOLTAGE REGULATOR";"";
"5VSWITCH";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"BAT";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1" header. Use with";"";
"C1";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C4";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C9";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C10";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CHDK";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";
"GPSFIX";"FIX";"LED0805";"CHIPLED_0805";"LED";"";
"I2CPULLUP";"";"SOLDERJUMPER_2WAYPASTE1&2&3";"SJ_3_PASTE1&2&3";"Solder Jumper";"";
"JP1";"";"M03PTH";"1X03";"Header 3";"";
"JP3";"M10"";"M10"";"1X10";"Header 10";"";
"JP4";"";"M07";"1X07";"Header 7";"";
"JP5";"M10"";"M10"";"1X10";"Header 10";"";
"JP6";"";"M07";"1X07";"Header 7";"";
"R1";"1K";"RESISTOR0805";"0805";"Resistors";"";
"RAD";"M04X2";"M04X2";"2X4";".1" header, two rows of four.";"";
"RM1";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"RM4";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"U$1";"BMP085";"BMP085";"BMP085";"BMP086 Bosch Digital Pressure Sensor";"";
"U$20";"U.FL";"U.FL";"U.FL";"U.FL Antenna Connector";"";
"U1";"FGPMMOPA6H";"GPS_FGPMMOPA6H";"FGPMMOPA6H";"GPS Module - MTK MT3339 Chipset, -165dBm sensitivity, 22 channels, 10Hz, auto-select external antenna options";"";
