"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"BAT";"CR1220";"BATTERYBATTERY_12MM_SMT";"BATTCON_12MM_SMT";"Battery Holders";"";"";"";"";
"C1";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C3";"10u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C4";"0.1uF";"C-EUC0805";"C0805@1";"CAPACITOR, European symbol";"";"";"";"";
"C5";"0.1uF";"C-EUC0805";"C0805@1";"CAPACITOR, European symbol";"";"";"";"";
"C6";".1uF";"C-EUC0805";"C0805@1";"CAPACITOR, European symbol";"";"";"";"";
"C7";"0.1uF";"C-EUC0805";"C0805@1";"CAPACITOR, European symbol";"";"";"";"";
"C8";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C10";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"CRF";".1u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"CSD";".1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"I2C1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"I2C2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"IC1";"ATMEGA328P";"MEGA8-AI";"TQFP32-08";"MICROCONTROLLER";"";"ATMEGA8-16AU";"9171371";"73M8863";
"IC2";"24AA128SN";"24AA128SN";"SO-08";"Serial EEPROM";"MICROCHIP";"24AA128-I/SN";"unknown";"92C6842";
"IC4";"MCP1700-33";"MCP1700SOT233";"SOT23";"VOLTAGE REGULATOR";"";"";"";"";
"JP1";"";"M081X08";"1X08";"Header 8";"";"";"";"";
"JP2";"";"M06SIP";"1X06";"Header 6";"";"";"";"";
"JP4";"";"M07";"1X07";"Header 7";"";"";"";"";
"MICROSD";"MICROSD";"MICROSD";"MICROSD";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";
"REMOTE";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"RM1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RM2";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RRST";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RRTC1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RSD1";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"RTC";"DS3231";"DS3231";"DS3231";"";"";"";"";"";
"RTCINT";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";
"SD";"FDN340P";"PMOSSOT23";"SOT-23";"MOS FET";"";"";"";"";
"U$1";"M04X2";"M04X2";"2X4";".1" header, two rows of four.";"";"";"";"";
"X1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";
